epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7747,2.64965,4.71374,5.86007,0.03344,0.80949,4.0491,0.03273,0.00371,0.00136,0.00038,0.02096,0.00171,0.00021,0.00011,2.578,4.64685,6.01373,0.03478,0,0,0.00023637,0.00023637,0.00023637
2,75.3915,2.65399,4.68501,5.86524,0.03312,0.80143,1.10617,0.0332,0.0038,0.0013,0.00035,0.01956,0.00168,0.0002,0.0001,2.57852,4.65007,6.0141,0.03484,0,0,0.000471239,0.000471239,0.000471239
3,110.312,2.65701,4.71116,5.86095,0.03304,0.79743,0.99997,0.03248,0.0038,0.00121,0.00032,0.01934,0.00168,0.0002,0.0001,2.57146,4.63765,5.9994,0.03478,0,0,0.000702967,0.000702967,0.000702967
4,143.703,2.65101,4.69348,5.86313,0.03312,0.80015,0.98619,0.03073,0.00364,0.00121,0.00031,0.01688,0.00152,0.0002,0.0001,2.57859,4.64334,6.02475,0.03484,0,0,0.000699863,0.000699863,0.000699863
5,176.756,2.64251,4.69745,5.86322,0.03291,0.80256,0.91477,0.03738,0.00395,0.0013,0.00036,0.02441,0.00183,0.00022,0.0001,2.57658,4.65976,6.00746,0.03477,0,0,0.00069515,0.00069515,0.00069515
6,211.76,2.65382,4.71168,5.87635,0.03304,0.8005,0.96672,0.03359,0.0037,0.0013,0.00035,0.01761,0.00152,0.00018,9e-05,2.57468,4.63731,6.00881,0.03479,0,0,0.000690438,0.000690438,0.000690438
7,245.898,2.65055,4.71051,5.87225,0.03316,0.80656,0.87646,0.03666,0.00395,0.00124,0.00033,0.02144,0.00177,0.00021,0.0001,2.57769,4.65345,6.00694,0.03484,0,0,0.000685726,0.000685726,0.000685726
8,280.51,2.65145,4.70031,5.86544,0.03275,0.79395,0.8954,0.03386,0.00364,0.00124,0.00032,0.019,0.00158,0.0002,0.0001,2.57275,4.63781,5.99823,0.03478,0,0,0.000681013,0.000681013,0.000681013
9,314.832,2.6631,4.70111,5.86298,0.03296,0.79681,0.86551,0.03517,0.00393,0.00122,0.00038,0.02176,0.00181,0.00021,0.00011,2.57963,4.64246,6.00679,0.03487,0,0,0.000676301,0.000676301,0.000676301
10,350.24,2.65773,4.70978,5.86912,0.03301,0.79841,0.85173,0.03475,0.00386,0.00126,0.00039,0.01946,0.00168,0.00023,0.00012,2.57736,4.64224,6.00075,0.03486,0,0,0.000671588,0.000671588,0.000671588
11,385.232,2.65301,4.71703,5.87294,0.03328,0.80366,0.85844,0.03463,0.00399,0.00123,0.00033,0.02223,0.00187,0.0002,0.0001,2.58284,4.66205,6.01475,0.035,0,0,0.000666876,0.000666876,0.000666876
12,419.162,2.65608,4.70552,5.87322,0.03332,0.81138,0.85059,0.03238,0.0037,0.00116,0.0003,0.01664,0.00159,0.00018,9e-05,2.57947,4.65963,6.02293,0.03484,0,0,0.000662164,0.000662164,0.000662164
13,453.002,2.64741,4.6937,5.87393,0.03274,0.79751,0.84503,0.03078,0.00331,0.00122,0.00031,0.01777,0.00152,0.00019,0.0001,2.57558,4.65136,6.00095,0.03483,0,0,0.000657451,0.000657451,0.000657451
14,486.641,2.65923,4.70078,5.8712,0.03297,0.79633,0.82496,0.03659,0.00365,0.00117,0.0003,0.02198,0.00187,0.0002,0.0001,2.57574,4.64065,5.99846,0.03483,0,0,0.000652739,0.000652739,0.000652739
15,520.595,2.65059,4.70302,5.87285,0.03288,0.7965,0.83331,0.03759,0.00324,0.0012,0.0003,0.02247,0.00174,0.00023,0.00011,2.5726,4.65441,6.01804,0.03479,0,0,0.000648026,0.000648026,0.000648026
16,555.006,2.6552,4.71157,5.86996,0.03358,0.81083,0.85186,0.0351,0.00353,0.00118,0.0003,0.02278,0.00177,0.00021,0.0001,2.57915,4.65829,6.01519,0.03485,0,0,0.000643314,0.000643314,0.000643314
17,589.809,2.65878,4.69925,5.87038,0.03295,0.80098,0.83954,0.03382,0.00345,0.0012,0.00031,0.01989,0.00161,0.0002,0.0001,2.57632,4.64249,6.00996,0.03485,0,0,0.000638602,0.000638602,0.000638602
