epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2373,2.04749,4.78101,6.31172,0.02395,0.85526,3.34051,0.0279,0.00844,0.00191,0.00066,0.02088,0.00489,0.00024,0.0001,1.96984,4.70945,6.55852,0.02502,0,0,0.00023637,0.00023637,0.00023637
2,60.1652,2.03571,4.74711,6.3373,0.02347,0.84598,0.5634,0.02834,0.00899,0.0015,0.00048,0.02063,0.00482,0.00023,9e-05,1.97481,4.69951,6.55372,0.02524,0,0,0.000471239,0.000471239,0.000471239
3,87.4861,2.04508,4.78713,6.32854,0.02367,0.83948,0.45345,0.02533,0.00792,0.00157,0.00051,0.01951,0.00498,0.00026,0.0001,1.96893,4.67518,6.55196,0.02513,0,0,0.000702967,0.000702967,0.000702967
4,114.442,2.03779,4.76063,6.33955,0.0236,0.84531,0.44192,0.02703,0.00824,0.00205,0.00066,0.0207,0.00448,0.00023,0.0001,1.97516,4.69524,6.57247,0.02526,0,0,0.000699863,0.000699863,0.000699863
5,141.222,2.03436,4.76014,6.32828,0.02351,0.84506,0.43658,0.02752,0.00859,0.00183,0.00062,0.02152,0.00505,0.00024,0.0001,1.97144,4.72206,6.55272,0.02511,0,0,0.00069515,0.00069515,0.00069515
6,168.151,2.04089,4.78607,6.3378,0.02355,0.8449,0.43684,0.02573,0.00802,0.00197,0.00066,0.01983,0.00498,0.00026,0.0001,1.97351,4.68417,6.55398,0.02518,0,0,0.000690438,0.000690438,0.000690438
7,194.76,2.03881,4.78965,6.33134,0.02369,0.84836,0.42736,0.02629,0.00855,0.00155,0.00048,0.02014,0.00503,0.00024,0.0001,1.97404,4.70615,6.5471,0.02524,0,0,0.000685726,0.000685726,0.000685726
8,221.555,2.02688,4.76336,6.33672,0.02321,0.83592,0.43078,0.02595,0.0077,0.00147,0.00046,0.01975,0.0045,0.00023,9e-05,1.97102,4.66844,6.5357,0.02516,0,0,0.000681013,0.000681013,0.000681013
9,248.416,2.03069,4.75471,6.32801,0.02336,0.83934,0.42838,0.02711,0.00871,0.00151,0.00048,0.02093,0.00512,0.00024,0.0001,1.97785,4.68765,6.55104,0.02533,0,0,0.000676301,0.000676301,0.000676301
10,275.508,2.03866,4.78605,6.33295,0.02343,0.84145,0.43023,0.02691,0.00885,0.00195,0.00065,0.02035,0.00559,0.00026,0.0001,1.97513,4.67708,6.54267,0.02525,0,0,0.000671588,0.000671588,0.000671588
