epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
1,19.704,6.18959,10.1483,34.7047,0.29573,6.268,27.4723,0,0,0,0,0,0,0,0,0,nan,0,0,0,0,0.00023637,0.00023637,0.00023637
2,34.2375,6.22805,9.8266,35.2613,0.30033,6.26621,21.07,0,0,0,0,0,0,0,0,0,nan,43.9466,0,0,0,0.000469674,0.000469674,0.000469674
3,48.6249,6.26456,10.1703,34.89,0.29923,6.26667,18.1791,0,0,0,0,0,0,0,0,0,nan,68.0443,0,0,0,0.000698265,0.000698265,0.000698265
4,58.2037,6.22243,10.2786,35.2903,0.29584,6.26815,15.8838,0,0,0,0,0,0,0,0,0,nan,65.7283,0,0,0,0.000692794,0.000692794,0.000692794
5,67.7866,6.31738,9.7648,34.3846,0.30743,6.26278,13.9605,0,0,0,0,0,0,0,0,0,nan,69.7604,0,0,0,0.000685726,0.000685726,0.000685726
6,78.1843,6.2828,9.88874,34.8739,0.30588,6.2633,12.3882,0,0,0,0,0,0,0,0,0,nan,62.0434,0,0,0,0.000678657,0.000678657,0.000678657
7,91.71,6.26825,10.3297,34.8517,0.30368,6.26316,11.0039,0,0,0,0,0,0,0,0,0,nan,68.5365,0,0,0,0.000671588,0.000671588,0.000671588
8,105.686,6.26749,10.5533,34.3141,0.30221,6.2654,9.65341,0,0,0,0,0,0,0,0,0,nan,61.2283,0,0,0,0.00066452,0.00066452,0.00066452
9,119.534,6.27273,9.81196,33.4269,0.3003,6.26436,8.43201,0,0,0,0,0,0,0,0,0,nan,65.9948,0,0,0,0.000657451,0.000657451,0.000657451
10,133.098,6.23837,10.3275,34.2422,0.29805,6.26663,7.47981,0,0,0,0,0,0,0,0,0,nan,67.1528,0,0,0,0.000650383,0.000650383,0.000650383
11,146.738,6.24354,10.5407,34.4778,0.29769,6.26746,6.5043,0,0,0,0,0,0,0,0,0,nan,63.8142,0,0,0,0.000643314,0.000643314,0.000643314
12,160.796,6.24578,10.0345,32.9477,0.29449,6.26894,5.64599,0,0,0,0,0,0,0,0,0,nan,68.5955,0,0,0,0.000636245,0.000636245,0.000636245
13,174.183,6.25299,9.9568,36.2733,0.30371,6.26752,5.14063,0,0,0,0,0,0,0,0,0,nan,72.9939,0,0,0,0.000629177,0.000629177,0.000629177
