epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0021,2.04601,6.81333,6.48488,0.02315,6.37719,34.0386,0.02343,0.01512,0.00206,0.00058,0.00094,0.00044,1e-05,0,1.97381,5.54907,6.60782,0.02485,0,0,0.00023637,0.00023637,0.00023637
2,24.8902,2.05243,6.82263,6.50149,0.02314,6.37777,26.7274,0.02329,0.01579,0.00212,0.00064,0.00143,0.00088,0.00063,6e-05,1.9861,6.65594,6.58942,0.02518,0,0,0.000471239,0.000471239,0.000471239
3,33.677,2.04894,6.84462,6.49015,0.02289,6.37804,23.454,0.02467,0.01697,0.00201,0.00066,0.00138,0.00102,0.00063,6e-05,1.97793,6.71816,6.58224,0.02502,0,0,0.000702967,0.000702967,0.000702967
4,42.2021,2.05741,6.83285,6.48845,0.02316,6.37792,20.8128,0.0217,0.01473,0.00203,0.00068,0.00118,0.00068,1e-05,0,1.98719,6.67646,6.59303,0.02517,0,0,0.000699863,0.000699863,0.000699863
5,50.7912,2.04087,6.82933,6.49818,0.0231,6.37763,18.528,0.02199,0.01543,0.00204,0.00061,0.00145,0.00084,0.00063,6e-05,1.99143,6.70085,6.56348,0.02516,0,0,0.00069515,0.00069515,0.00069515
6,59.5468,2.04671,6.83794,6.49289,0.02309,6.37783,16.4788,0.02237,0.01482,0.00207,0.00068,0.00108,0.00058,0.00063,6e-05,1.98407,6.70186,6.58728,0.02512,0,0,0.000690438,0.000690438,0.000690438
7,68.2651,2.05177,6.83355,6.49094,0.02312,6.37738,14.7825,0.02146,0.01554,0.00203,0.00068,0.0014,0.00088,0.00063,6e-05,1.98687,6.69862,6.57815,0.02512,0,0,0.000685726,0.000685726,0.000685726
8,76.8989,2.05119,6.86222,6.49927,0.02301,6.3783,13.3214,0.02069,0.0141,0.002,0.00066,0.00116,0.00068,0.00063,6e-05,1.9894,6.699,6.58141,0.02525,0,0,0.000681013,0.000681013,0.000681013
9,85.4092,2.04652,6.84642,6.4933,0.02301,6.37803,12.0098,0.02255,0.01509,0.00208,0.00056,0.00146,0.00088,0.00063,6e-05,1.98689,6.68963,6.59042,0.02515,0,0,0.000676301,0.000676301,0.000676301
10,93.8557,2.04539,6.84934,6.50034,0.023,6.37792,10.6335,0.02194,0.01502,0.0021,0.00069,0.00181,0.00114,0.00063,6e-05,1.9792,6.68703,6.59044,0.0251,0,0,0.000671588,0.000671588,0.000671588
11,102.609,2.04621,6.82165,6.50801,0.02314,6.37745,9.29525,0.02028,0.01494,0.00204,0.00068,0.00139,0.00084,0.00063,6e-05,1.99178,6.68584,6.57687,0.02525,0,0,0.000666876,0.000666876,0.000666876
12,111.124,2.04657,6.79012,6.51038,0.02315,6.37719,8.05549,0.02205,0.015,0.00207,0.00063,0.00173,0.00118,0.00063,6e-05,1.98765,6.67945,6.60201,0.02517,0,0,0.000662164,0.000662164,0.000662164
13,119.798,2.04643,6.82583,6.50057,0.02302,6.37801,7.03193,0.02162,0.01429,0.00202,0.00066,0.00148,0.00088,0.00063,6e-05,1.99071,6.68485,6.60142,0.02531,0,0,0.000657451,0.000657451,0.000657451
14,128.35,2.05752,6.8311,6.4981,0.02307,6.37813,6.32098,0.02203,0.01554,0.00212,0.00076,0.00133,0.00088,0.00063,6e-05,1.99011,6.68628,6.55342,0.02525,0,0,0.000652739,0.000652739,0.000652739
15,137.051,2.05112,6.84047,6.4949,0.02291,6.3779,5.4718,0.02289,0.01542,0.00176,0.00058,0.00116,0.00068,1e-05,0,1.98568,6.7027,6.58202,0.02509,0,0,0.000648026,0.000648026,0.000648026
16,145.585,2.04066,6.83079,6.49279,0.02316,6.3771,4.59613,0.02414,0.01572,0.00222,0.0006,0.00158,0.00098,1e-05,0,1.97974,6.69657,6.58459,0.02498,0,0,0.000643314,0.000643314,0.000643314
17,154.093,2.05314,6.84496,6.50114,0.02302,6.37788,3.83482,0.0219,0.01517,0.00205,0.00073,0.00133,0.00078,0.00063,6e-05,1.98808,6.68483,6.59077,0.02522,0,0,0.000638602,0.000638602,0.000638602
18,162.586,2.05012,6.84592,6.50232,0.02309,6.3779,3.19641,0.02132,0.01443,0.00204,0.00055,0.00135,0.00078,0.00063,6e-05,1.9794,6.69085,6.58444,0.02499,0,0,0.000633889,0.000633889,0.000633889
19,171.228,2.04433,6.84331,6.48673,0.02292,6.37778,2.65411,0.0231,0.01639,0.00213,0.0007,0.00113,0.00068,0.00063,6e-05,1.98402,6.67834,6.57663,0.02514,0,0,0.000629177,0.000629177,0.000629177
20,179.885,2.04993,6.83033,6.48999,0.023,6.37769,2.24065,0.02112,0.01481,0.00205,0.00066,0.00132,0.00078,0.00063,6e-05,1.99109,6.71459,6.56823,0.02522,0,0,0.000624464,0.000624464,0.000624464
21,188.441,2.04575,6.82901,6.50794,0.02291,6.3777,1.9145,0.02194,0.0152,0.00202,0.00068,0.00115,0.00068,0.00063,6e-05,1.98795,6.70254,6.57378,0.02523,0,0,0.000619752,0.000619752,0.000619752
22,196.908,2.04153,6.83001,6.4805,0.02304,6.37753,1.61258,0.02258,0.01599,0.00218,0.00071,0.00111,0.00068,0.00063,6e-05,1.99194,6.7051,6.5759,0.02524,0,0,0.00061504,0.00061504,0.00061504
23,205.874,2.04367,6.84623,6.47809,0.02288,6.37807,1.35309,0.02214,0.01467,0.00211,0.00069,0.00134,0.00078,0.00063,6e-05,1.98184,6.70816,6.59022,0.0251,0,0,0.000610327,0.000610327,0.000610327
24,214.364,2.04769,6.84985,6.47936,0.02286,6.37826,1.16879,0.02143,0.01503,0.00202,0.00074,0.00143,0.00088,0.00063,6e-05,1.98099,6.70511,6.58067,0.02517,0,0,0.000605615,0.000605615,0.000605615
25,222.839,2.05478,6.83112,6.49925,0.02328,6.37721,1.04948,0.02251,0.01582,0.0021,0.00069,0.00144,0.00084,0.00063,6e-05,1.98397,6.68344,6.56694,0.02511,0,0,0.000600902,0.000600902,0.000600902
26,231.349,2.05642,6.81015,6.49511,0.02334,6.37713,0.99766,0.02197,0.01561,0.00208,0.00069,0.0013,0.00078,0.00063,6e-05,1.99081,6.6859,6.58259,0.02524,0,0,0.00059619,0.00059619,0.00059619
27,239.876,2.04603,6.83064,6.50028,0.02287,6.37788,0.92476,0.02159,0.0149,0.00205,0.00074,0.00129,0.00078,0.00063,6e-05,1.98504,6.68677,6.58541,0.02514,0,0,0.000591478,0.000591478,0.000591478
28,248.42,2.03918,6.84988,6.49316,0.02273,6.37814,0.89738,0.02248,0.01572,0.00203,0.00066,0.00141,0.00088,0.00063,6e-05,1.98457,6.70417,6.58388,0.02515,0,0,0.000586765,0.000586765,0.000586765
29,256.993,2.04737,6.81165,6.51605,0.02321,6.3772,0.8799,0.02283,0.01601,0.00209,0.00057,0.00137,0.00078,0.00063,6e-05,1.98026,6.68434,6.58912,0.02504,0,0,0.000582053,0.000582053,0.000582053
30,265.643,2.04791,6.84067,6.50015,0.02293,6.37791,0.87079,0.02155,0.01521,0.00208,0.00074,0.00115,0.00068,0.00063,6e-05,1.98119,6.71702,6.57387,0.02504,0,0,0.00057734,0.00057734,0.00057734
31,274.24,2.05423,6.84499,6.50102,0.02308,6.378,0.87398,0.02358,0.01555,0.00209,0.00068,0.00105,0.00058,0.00063,6e-05,1.98228,6.69713,6.60892,0.02503,0,0,0.000572628,0.000572628,0.000572628
32,282.675,2.05125,6.83917,6.50143,0.02322,6.37785,0.8677,0.02135,0.01476,0.00209,0.00068,0.00135,0.00074,0.00063,6e-05,1.9843,6.67705,6.59472,0.02512,0,0,0.000567916,0.000567916,0.000567916
33,291.217,2.05558,6.84837,6.51023,0.02313,6.37779,0.86025,0.02268,0.01521,0.00209,0.00067,0.00115,0.00068,0.00063,6e-05,1.98419,6.69413,6.60109,0.02506,0,0,0.000563203,0.000563203,0.000563203
34,300.083,2.05311,6.83382,6.49463,0.0231,6.37783,0.85982,0.02254,0.0149,0.00176,0.00059,0.0015,0.00088,0.00032,3e-05,1.98672,6.6999,6.58806,0.02522,0,0,0.000558491,0.000558491,0.000558491
35,308.685,2.04923,6.83755,6.49254,0.02318,6.37735,0.8586,0.02286,0.0151,0.00206,0.00063,0.00138,0.00078,1e-05,0,1.97963,6.68114,6.60588,0.02502,0,0,0.000553778,0.000553778,0.000553778
36,317.259,2.05369,6.8318,6.50407,0.02313,6.37787,0.85798,0.02135,0.01427,0.00209,0.00068,0.00105,0.00058,0.00063,6e-05,1.9801,6.68374,6.60599,0.025,0,0,0.000549066,0.000549066,0.000549066
37,325.743,2.04619,6.81405,6.50581,0.02312,6.37751,0.85189,0.02114,0.01486,0.00202,0.00067,0.00144,0.00084,0.00063,6e-05,1.98887,6.69739,6.57388,0.02518,0,0,0.000544354,0.000544354,0.000544354
38,334.236,2.05291,6.85007,6.51221,0.02279,6.37841,0.8581,0.0229,0.01589,0.00211,0.00068,0.00151,0.00112,1e-05,0,1.98708,6.68953,6.59122,0.02524,0,0,0.000539641,0.000539641,0.000539641
39,342.775,2.04116,6.80967,6.50738,0.02301,6.37768,0.85555,0.02172,0.01551,0.00209,0.00068,0.00126,0.00078,0.00063,6e-05,1.98909,6.69765,6.57154,0.02522,0,0,0.000534929,0.000534929,0.000534929
40,351.276,2.05215,6.82307,6.50341,0.02321,6.3774,0.85429,0.0225,0.01432,0.00204,0.00067,0.00107,0.00062,1e-05,0,1.98618,6.67469,6.61346,0.02515,0,0,0.000530216,0.000530216,0.000530216
41,359.826,2.04548,6.84195,6.51059,0.02276,6.37805,0.85207,0.02263,0.01509,0.00208,0.00069,0.00157,0.00098,0.00063,6e-05,1.98532,6.68817,6.58689,0.02521,0,0,0.000525504,0.000525504,0.000525504
