epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5675,2.13589,4.98982,6.49673,0.02623,0.94597,0.5849,0.02846,0.01312,0.0021,0.00078,0.02138,0.00862,0.00046,0.00015,2.0575,5.0256,6.59761,0.0269,0,0.80728,0.00023637,0.00023637,0.00023637
2,78.5647,2.14018,4.97618,6.48519,0.02629,0.94725,0.60821,0.02815,0.01325,0.00174,0.00063,0.01903,0.0075,0.00033,0.00013,2.06238,5.05766,6.58731,0.02707,0,0.80877,0.000469152,0.000469152,0.000469152
3,115.064,2.1398,4.99617,6.49147,0.02633,0.94966,0.62693,0.02713,0.01301,0.00213,0.00078,0.01871,0.00816,0.00037,0.00015,2.05596,5.05709,6.59052,0.02696,0,0.87991,0.000696698,0.000696698,0.000696698
4,151.931,2.14506,4.98628,6.48889,0.02638,0.94831,0.63066,0.02741,0.01296,0.00225,0.00084,0.01903,0.00811,0.00045,0.00016,2.06149,5.06941,6.59371,0.02699,0,0.82656,0.000690438,0.000690438,0.000690438
5,188.459,2.14268,5.00391,6.47616,0.02641,0.94873,0.63401,0.0286,0.01313,0.00219,0.00084,0.01728,0.00761,0.00036,0.00014,2.05157,5.0311,6.59873,0.0268,0,0.8326,0.000682584,0.000682584,0.000682584
6,224.356,2.13989,4.97911,6.4944,0.02621,0.94758,0.62427,0.02821,0.01327,0.0022,0.00078,0.01908,0.00788,0.00033,0.00014,2.06062,5.02449,6.58908,0.02701,0,0.85251,0.00067473,0.00067473,0.00067473
7,260.694,2.13559,4.97628,6.49481,0.02612,0.9522,0.62432,0.02849,0.01437,0.00214,0.00078,0.01851,0.00821,0.00032,0.00013,2.05736,5.02056,6.58455,0.02698,0,0.79421,0.000666876,0.000666876,0.000666876
8,297.101,2.1383,4.9897,6.49779,0.02615,0.95197,0.63288,0.02846,0.01327,0.00213,0.00079,0.01993,0.00836,0.00038,0.00015,2.06184,5.04591,6.58536,0.02703,0,0.79111,0.000659022,0.000659022,0.000659022
9,333.439,2.14149,5.00801,6.49988,0.02623,0.95305,0.63159,0.02783,0.01322,0.0018,0.00074,0.01977,0.00836,0.00057,0.00016,2.06512,5.03748,6.60288,0.02706,0,0.81388,0.000651168,0.000651168,0.000651168
10,369.028,2.13878,5.00281,6.49957,0.02631,0.95195,0.63348,0.02771,0.01333,0.00176,0.00071,0.02089,0.00858,0.00058,0.00017,2.06593,5.05271,6.59123,0.02708,0,0.84982,0.000643314,0.000643314,0.000643314
11,405.737,2.14268,4.9921,6.4993,0.02629,0.95094,0.60668,0.02788,0.01433,0.00214,0.0008,0.02,0.00858,0.00032,0.00014,2.06432,5.04013,6.59074,0.02712,0,0.84858,0.00063546,0.00063546,0.00063546
12,442.711,2.14186,4.99563,6.48265,0.02623,0.94971,0.59733,0.02801,0.01413,0.00208,0.00078,0.02013,0.00873,0.00062,0.00017,2.06164,5.05779,6.59265,0.02704,0,0.81146,0.000627606,0.000627606,0.000627606
13,479.596,2.1457,5.01209,6.49587,0.02636,0.95031,0.61573,0.02864,0.01348,0.00217,0.00079,0.02049,0.00833,0.00038,0.00014,2.06163,5.0454,6.59267,0.02701,0,0.77269,0.000619752,0.000619752,0.000619752
14,516.803,2.14566,5.0054,6.48975,0.02639,0.95161,0.60395,0.02773,0.01337,0.00214,0.00077,0.01792,0.00791,0.00057,0.00016,2.0602,5.049,6.59075,0.027,0,0.79549,0.000611898,0.000611898,0.000611898
