epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),depth/abs_rel,depth/rmse,depth/silog,depth/rmse_log,depth/sq_rel,depth/delta1,depth/delta2,depth/delta3,depth/nyu/abs_rel,depth/nyu/rmse,depth/nyu/delta1,depth/kitti/abs_rel,depth/kitti/rmse,depth/kitti/delta1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,462.073,0,0,0,0,0,9.74285,0.00052,0.00444,1e-05,1e-05,0.00047,0.00271,1e-05,0,16.0957,2.3139,1.34311,1.6436,43.5716,0.15938,0.30969,0.44069,0.48825,1.39917,0.36653,17.4418,2.38695,0.1418,0,0,0,0,0,3.77798,0.00599106,0.00199702,0.00599106,0.00199702,0.00599106,0.00199702,0.00599106,0.00199702
2,912.088,0,0,0,0,0,1.67455,0.00056,0.00421,1e-05,0,0.00057,0.00264,1e-05,0,7.21935,1.8845,1.21601,1.29618,11.3803,0.1915,0.37921,0.54932,0.52318,1.38487,0.34053,7.80392,1.92243,0.17884,0,0,0,0,0,3.24522,0.0119119,0.00397064,0.0119119,0.00397064,0.0119119,0.00397064,0.0119119,0.00397064
3,1362.31,0,0,0,0,0,1.47415,0.0006,0.00505,1e-05,1e-05,0.00057,0.00243,1e-05,0,4.54827,1.8507,1.1934,1.20869,6.22003,0.16099,0.31512,0.46171,0.35557,1.10741,0.46459,4.91265,1.90712,0.13557,0,0,0,0,0,3.15805,0.0177536,0.00591786,0.0177536,0.00591786,0.0177536,0.00591786,0.0177536,0.00591786
4,1807.49,0,0,0,0,0,1.41414,0.00054,0.00408,1e-05,1e-05,0.0006,0.0026,1e-05,0,5.29038,1.77085,1.1826,1.203,7.70703,0.18693,0.36134,0.52877,0.29304,1.05479,0.50598,5.7211,1.82357,0.16015,0,0,0,0,0,3.10459,0.023516,0.00783868,0.023516,0.00783868,0.023516,0.00783868,0.023516,0.00783868
5,2252.15,0,0,0,0,0,1.39426,0.0004,0.00465,1e-05,0,0.00051,0.00267,1e-05,0,5.82474,1.7038,1.17447,1.21411,9.20683,0.2032,0.39066,0.56319,0.26919,0.99188,0.52961,6.30172,1.75674,0.1757,0,0,0,0,0,3.07478,0.0291993,0.0097331,0.0291993,0.0097331,0.0291993,0.0097331,0.0291993,0.0097331
6,2695.83,0,0,0,0,0,1.3566,0.00062,0.00447,1e-05,0,0.00058,0.00287,1e-05,0,4.9761,1.75881,1.17346,1.18706,6.99533,0.18799,0.36355,0.52884,0.27615,0.98717,0.53425,5.37849,1.81686,0.15891,0,0,0,0,0,3.06781,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3141.65,0,0,0,0,0,1.31202,0.00049,0.0048,1e-05,1e-05,0.0006,0.00273,1e-05,0,4.51343,1.75393,1.17115,1.17886,6.24718,0.17996,0.34588,0.506,0.24643,0.9287,0.5643,4.87875,1.81455,0.14775,0,0,0,0,0,3.05798,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3586.53,0,0,0,0,0,1.29543,0.00045,0.00438,1e-05,0,0.00058,0.00296,1e-05,0,4.41605,1.75449,1.16845,1.17402,6.05033,0.17646,0.34166,0.50154,0.26294,0.95451,0.54774,4.77195,1.81557,0.14527,0,0,0,0,0,3.05712,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4030.58,0,0,0,0,0,1.27295,0.00058,0.00401,1e-05,0,0.00055,0.00264,1e-05,0,4.53699,1.73569,1.16294,1.16952,6.1107,0.18212,0.34839,0.50721,0.24399,0.8875,0.58604,4.90457,1.79995,0.14823,0,0,0,0,0,3.0395,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4475.94,0,0,0,0,0,1.26923,0.00053,0.00402,1e-05,1e-05,0.00055,0.00238,1e-05,1e-05,4.65803,1.72845,1.16343,1.17165,6.32978,0.18576,0.35758,0.52187,0.24527,0.9225,0.56678,5.03532,1.78873,0.15376,0,0,0,0,0,3.041,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
